ID,ADDRESS,CITY,STATE,ZIP CODE,LNG,LAT,NEIGHBORHOOD,BUILDING CLASS CATEGORY,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,SALE PRICE,SALE DATE
6,1124 EAST 48TH STREET,Brooklyn,NY,11234,-73.93039,40.633392,FLATBUSH-EAST,01 ONE FAMILY DWELLINGS,"2,150",938,1945,"106,500",5/3/17
7,757 EAST 85TH STREET,Brooklyn,NY,11236,-73.910355,40.638535,CANARSIE,02 TWO FAMILY DWELLINGS,"4,000","2,160",1930,"109,343",3/27/17
8,946 EAST 58TH STREET,Brooklyn,NY,11234,-73.92053,40.63189,FLATLANDS,01 ONE FAMILY DWELLINGS,"3,000","1,705",1925,"110,000",2/24/17
9,189 HIGHLAND BOULEVARD,Brooklyn,NY,11207,-73.89445,40.681507,CYPRESS HILLS,02 TWO FAMILY DWELLINGS,"2,502","2,628",1925,"111,450",2/9/17
10,90 WYONA STREET,Brooklyn,NY,11207,-73.89426,40.677082,CYPRESS HILLS,02 TWO FAMILY DWELLINGS,"2,500","1,560",1901,"125,000",2/1/17
11,155 RIDGEWOOD AVE,Brooklyn,NY,11208,-73.88308,40.683067,CYPRESS HILLS,01 ONE FAMILY DWELLINGS,"2,000","1,650",1910,"134,000",1/24/17
12,45 CANTON COURT,Brooklyn,NY,11229,-73.921616,40.588108,GERRITSEN BEACH,01 ONE FAMILY DWELLINGS,"1,800","1,680",2004,"140,000",5/5/17
13,220 MONTAUK AVENUE,Brooklyn,NY,11208,-73.87786,40.673794,EAST NEW YORK,02 TWO FAMILY DWELLINGS,"2,000","1,904",1930,"150,000",2/1/17
14,611 EAST 48TH STREET,Brooklyn,NY,11203,-73.9318,40.646786,FLATBUSH-EAST,02 TWO FAMILY DWELLINGS,"3,000","2,880",1925,"150,000",2/6/17
15,1333 PARK PLACE,Brooklyn,NY,11213,-73.93292,40.672485,CROWN HEIGHTS,02 TWO FAMILY DWELLINGS,"2,000","2,208",1910,"150,000",2/7/17
16,715 EAST 43RD STREET,Brooklyn,NY,11203,-73.93573,40.63827,FLATBUSH-EAST,02 TWO FAMILY DWELLINGS,"1,775","1,938",1935,"150,000",4/24/17
17,619 EAST 78TH STREET,Brooklyn,NY,11236,-73.91796,40.63743,CANARSIE,01 ONE FAMILY DWELLINGS,"3,533","1,400",1960,"150,000",5/12/17
18,105 FRANK COURT,Brooklyn,NY,11229,-73.92435,40.58916,GERRITSEN BEACH,01 ONE FAMILY DWELLINGS,"1,800",975,1925,"150,000",5/18/17
19,317 BAY 20TH STREET,Brooklyn,NY,11214,-74.00696,40.600838,BATH BEACH,02 TWO FAMILY DWELLINGS,"2,562","1,561",1945,"150,000",5/19/17
20,180 FOUNTAIN AVENUE,Brooklyn,NY,11208,-73.87548,40.675716,EAST NEW YORK,01 ONE FAMILY DWELLINGS,"2,000","1,065",1920,"152,000",1/5/17
21,481 LEXINGTON AVENUE,Brooklyn,NY,11221,-73.94288,40.68861,BEDFORD STUYVESANT,01 ONE FAMILY DWELLINGS,"1,033","1,395",1899,"152,000",3/3/17
22,2862 WEST 31ST STREET,Brooklyn,NY,11224,-73.99766,40.576122,CONEY ISLAND,01 ONE FAMILY DWELLINGS,"2,375","1,520",1985,"155,000",2/24/17
25,5028 KINGS HIGHWAY,Brooklyn,NY,11234,-73.92784,40.634823,FLATLANDS,01 ONE FAMILY DWELLINGS,"1,120","1,524",1940,"160,000",4/7/17
26,521 62ND STREET,Brooklyn,NY,11220,-74.01679,40.638012,SUNSET PARK,02 TWO FAMILY DWELLINGS,"2,000","2,710",1910,"162,500",5/18/17
27,468 PARK AVE,Brooklyn,NY,11205,-73.95779,40.69664,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,"1,030","3,000",1940,"164,000",5/4/17
28,212 HOWARD AVENUE,Brooklyn,NY,11233,-73.91961,40.680923,OCEAN HILL,01 ONE FAMILY DWELLINGS,"1,406","1,312",1910,"165,000",2/18/17
29,9 OPAL COURT,Brooklyn,NY,11229,-73.924644,40.58626,GERRITSEN BEACH,01 ONE FAMILY DWELLINGS,"1,800","1,334",1920,"169,000",5/1/17
30,118 ESSEX STREET,Brooklyn,NY,11208,-73.883224,40.68183,CYPRESS HILLS,01 ONE FAMILY DWELLINGS,"2,000","1,560",1910,"170,000",3/1/17
31,2119 60TH STREET,Brooklyn,NY,11204,-73.980156,40.617744,BOROUGH PARK,03 THREE FAMILY DWELLINGS,"2,504","2,520",1925,"171,875",2/21/17
32,1058 REMSEN AVE,Brooklyn,NY,11236,-73.909134,40.643063,CANARSIE,02 TWO FAMILY DWELLINGS,"2,500","1,728",1930,"175,000",1/26/17
33,197 EAST 39TH STREET,Brooklyn,NY,11203,-73.941086,40.652504,FLATBUSH-EAST,02 TWO FAMILY DWELLINGS,"2,000","1,920",1920,"175,000",2/3/17
34,51 CRESCENT ST,Brooklyn,NY,11208,-73.87362,40.6881,CYPRESS HILLS,02 TWO FAMILY DWELLINGS,"2,552","1,760",1930,"175,000",4/21/17
35,625 ESSEX ST,Brooklyn,NY,11208,-73.88027,40.668274,EAST NEW YORK,02 TWO FAMILY DWELLINGS,"3,053","2,200",1986,"175,000",5/9/17
37,2124 60TH STREET,Brooklyn,NY,11204,-73.98005,40.617664,BOROUGH PARK,02 TWO FAMILY DWELLINGS,"2,550","2,680",1930,"175,455",4/18/17
38,23 DANK COURT,Brooklyn,NY,11223,-73.97382,40.586563,OCEAN PARKWAY-SOUTH,02 TWO FAMILY DWELLINGS,"2,000","2,812",1965,"178,000",3/23/17
40,619 EAST 42ND STREET,Brooklyn,NY,11203,-73.936844,40.639893,FLATBUSH-EAST,01 ONE FAMILY DWELLINGS,"2,000","1,392",1925,"180,000",2/10/17
41,987 SCHENECTADY AVENUE,Brooklyn,NY,11203,-73.933014,40.649002,FLATBUSH-EAST,01 ONE FAMILY DWELLINGS,"2,000","1,536",1910,"180,000",5/5/17
42,192 LEGION STREET,Brooklyn,NY,11212,-73.91698,40.663513,BROWNSVILLE,01 ONE FAMILY DWELLINGS,"1,800","1,148",1986,"185,000",3/23/17
43,1580 EAST 53RD STREET,Brooklyn,NY,11234,-73.92406,40.619854,OLD MILL BASIN,02 TWO FAMILY DWELLINGS,"5,800","3,162",1960,"188,981",4/26/17
44,592 JUNIUS STREET,Brooklyn,NY,11212,-73.9005,40.65993,BROWNSVILLE,01 ONE FAMILY DWELLINGS,"1,800","1,148",1987,"190,000",1/25/17
45,115 EAST 28TH STREET,Brooklyn,NY,11226,-73.95102,40.646454,FLATBUSH-CENTRAL,01 ONE FAMILY DWELLINGS,"2,716","1,440",1920,"190,000",3/30/17
46,24 STANTON ROAD,Brooklyn,NY,11235,-73.936615,40.58548,SHEEPSHEAD BAY,02 TWO FAMILY DWELLINGS,"1,575","1,216",1920,"199,000",1/19/17
47,332 68TH STREET,Brooklyn,NY,11220,-74.024864,40.636055,BAY RIDGE,02 TWO FAMILY DWELLINGS,"2,425","2,336",1920,"200,000",1/19/17
48,1578 51ST STREET,Brooklyn,NY,11219,-73.987236,40.630245,BOROUGH PARK,03 THREE FAMILY DWELLINGS,"2,000","3,720",1970,"200,000",1/31/17
49,316 WARREN STREET,Brooklyn,NY,11201,-73.99225,40.6858,BOERUM HILL,02 TWO FAMILY DWELLINGS,"1,667","2,880",1899,"200,000",2/27/17
50,2813 TILDEN AVE,Brooklyn,NY,11226,-73.9502,40.64685,FLATBUSH-CENTRAL,02 TWO FAMILY DWELLINGS,"2,800","1,448",1899,"200,000",2/28/17
51,427 NEWPORT STREET,Brooklyn,NY,11207,-73.89894,40.66085,EAST NEW YORK,02 TWO FAMILY DWELLINGS,"2,325","2,080",1901,"200,000",3/8/17
52,2811 WEST 20TH STREET,Brooklyn,NY,11224,-73.98726,40.57832,CONEY ISLAND,02 TWO FAMILY DWELLINGS,"1,000","1,400",1901,"200,000",3/28/17
53,664 PENNSYLVANIA AVENUE,Brooklyn,NY,11207,-73.89254,40.661087,EAST NEW YORK,02 TWO FAMILY DWELLINGS,"2,130","1,862",1925,"200,000",4/21/17
54,196 BAY 40TH STREET,Brooklyn,NY,11214,-73.990555,40.593544,GRAVESEND,03 THREE FAMILY DWELLINGS,"1,885","3,333",1950,"200,000",5/8/17
55,1335 BERGEN STREET,Brooklyn,NY,11213,-73.9406,40.675594,CROWN HEIGHTS,02 TWO FAMILY DWELLINGS,"2,143","3,380",1901,"205,000",1/26/17
56,760 EAST 102 ST,Brooklyn,NY,11236,-73.89801,40.647076,CANARSIE,02 TWO FAMILY DWELLINGS,"2,000","1,540",1955,"210,000",3/9/17
57,1095 BLAKE AVENUE,Brooklyn,NY,11208,-73.87762,40.67038,EAST NEW YORK,01 ONE FAMILY DWELLINGS,"1,620","1,134",1990,"210,000",3/24/17
58,464 BAY RIDGE PARKWAY,Brooklyn,NY,11209,-74.02354,40.63002,BAY RIDGE,01 ONE FAMILY DWELLINGS,"2,000","2,642",1910,"210,000",4/5/17
59,627 EAST 35TH STREET,Brooklyn,NY,11203,-73.9436,40.64015,FLATBUSH-EAST,03 THREE FAMILY DWELLINGS,"2,600","3,420",2005,"210,000",4/21/17
60,315 EAST 29TH STREET,Brooklyn,NY,11226,-73.94968,40.642727,FLATBUSH-CENTRAL,01 ONE FAMILY DWELLINGS,"4,000","1,876",1899,"210,000",5/4/17
61,819 LOGAN STREET,Brooklyn,NY,11208,-73.87244,40.665985,EAST NEW YORK,02 TWO FAMILY DWELLINGS,"1,800","1,080",1910,"210,500",3/30/17
