6,1124 EAST 48TH   STREET                  ,New York,NY,11234
7,757 EAST 85TH STREET                     ,New York,NY,11236
8,946 EAST 58TH STREET                     ,New York,NY,11234
9,189 HIGHLAND BOULEVARD                   ,New York,NY,11207
10,90 WYONA STREET                          ,New York,NY,11207
11,155 RIDGEWOOD AVE                        ,New York,NY,11208
12,45 CANTON COURT                          ,New York,NY,11229
13,220 MONTAUK AVENUE                       ,New York,NY,11208
14,611 EAST 48TH   STREET                   ,New York,NY,11203
15,1333 PARK PLACE                          ,New York,NY,11213
16,715 EAST 43RD   STREET                   ,New York,NY,11203
17,619 EAST 78TH   STREET                   ,New York,NY,11236
18,105 FRANK COURT                          ,New York,NY,11229
19,317 BAY 20TH STREET                      ,New York,NY,11214
20,180 FOUNTAIN AVENUE                      ,New York,NY,11208
21,481 LEXINGTON AVENUE                     ,New York,NY,11221
22,2862 WEST 31ST   STREET                  ,New York,NY,11224
23,21 BOGARDUS STREET                       ,New York,NY,11235
24,22 BOGARDUS STREET                       ,New York,NY,11235
25,5028 KINGS HIGHWAY                       ,New York,NY,11234
26,521 62ND STREET                          ,New York,NY,11220
27,468 PARK AVE                             ,New York,NY,11205
28,212 HOWARD AVENUE                        ,New York,NY,11233
29,9 OPAL COURT                             ,New York,NY,11229
30,118 ESSEX STREET                         ,New York,NY,11208
31,2119 60TH STREET                         ,New York,NY,11204
32,1058 REMSEN AVE                          ,New York,NY,11236
33,197 EAST 39TH   STREET                   ,New York,NY,11203
34,51 CRESCENT ST                           ,New York,NY,11208
35,625 ESSEX ST                             ,New York,NY,11208
36,315 LOGAN                                ,New York,NY,11208
37,2124 60TH   STREET                       ,New York,NY,11204
38,23 DANK COURT                            ,New York,NY,11223
39,1410 PUTNAM                              ,New York,NY,11237
40,619 EAST 42ND   STREET                   ,New York,NY,11203
41,987 SCHENECTADY AVENUE                   ,New York,NY,11203
42,192 LEGION STREET                        ,New York,NY,11212
43,1580 EAST 53RD   STREET                  ,New York,NY,11234
44,592 JUNIUS STREET                        ,New York,NY,11212
45,115 EAST 28TH STREET                     ,New York,NY,11226
46,24 STANTON ROAD                          ,New York,NY,11235
47,332 68TH STREET                          ,New York,NY,11220
48,1578 51ST   STREET                       ,New York,NY,11219
49,316 WARREN STREET                        ,New York,NY,11201
50,2813 TILDEN AVE                          ,New York,NY,11226
51,427 NEWPORT STREET                       ,New York,NY,11207
52,2811 WEST 20TH STREET                    ,New York,NY,11224
53,664 PENNSYLVANIA AVENUE                  ,New York,NY,11207
54,196 BAY 40TH STREET                      ,New York,NY,11214
55,1335 BERGEN STREET                       ,New York,NY,11213
56,760 EAST 102 ST                          ,New York,NY,11236
57,1095 BLAKE AVENUE                        ,New York,NY,11208
58,464 BAY RIDGE PARKWAY                    ,New York,NY,11209
59,627 EAST 35TH STREET                     ,New York,NY,11203
60,315 EAST 29TH STREET                     ,New York,NY,11226
61,819 LOGAN STREET                         ,New York,NY,11208
62,105 EAST 45TH   STREET                   ,New York,NY,11203
63,107 NEWPORT STREET                       ,New York,NY,11212
64,506 WARWICK STREET                       ,New York,NY,11207
65,566 PINE STREET                          ,New York,NY,11208
66,121 NORTH 5TH   STREET                   ,New York,NY,11249
67,308 CLIFTON PLACE                        ,New York,NY,11216
68,956 EAST 98TH   STREET                   ,New York,NY,11236
69,1352 EAST 17TH   STREET                  ,New York,NY,11230
70,370 AUTUMN AVENUE                        ,New York,NY,11208
71,9 JEROME STREET                          ,New York,NY,11207
