2001,171 DEVOE STREET                         ,Brooklyn,NY,11211,
2002,1511 56TH STREET                         ,Brooklyn,NY,11219,
2003,1202 AVENUE I                            ,Brooklyn,NY,11230,
2004,2051 EAST 16TH   STREET                  ,Brooklyn,NY,11229,
2005,2156 72ND   STREET                       ,Brooklyn,NY,11204,
2006,1861 WEST 3RD STREET                     ,Brooklyn,NY,11223,
2007,6631 DURYEA COURT                        ,Brooklyn,NY,11219,
2008,548 KOSCIUSZKO STREET                    ,Brooklyn,NY,11221,
2009,243 RUTLAND ROAD                         ,Brooklyn,NY,11225,
2010,169 SCHAEFER STREET                      ,Brooklyn,NY,11207,
2011,415 58TH   STREET                        ,Brooklyn,NY,11220,
2012,186 KENSINGTON STREET                    ,Brooklyn,NY,11235,
2013,835 WILLOUGHBY AVENUE                    ,Brooklyn,NY,11206,
2014,4718 FORT HAMILTON PARKWA                ,Brooklyn,NY,11219,
2015,11 WHITMAN DRIVE                         ,Brooklyn,NY,11234,
2016,452 79TH STREET                          ,Brooklyn,NY,11209,
2017,146 LANGHAM STREET                       ,Brooklyn,NY,11235,
2018,121 PULASKI STREET                       ,Brooklyn,NY,11206,
2019,2135 84TH   STREET                       ,Brooklyn,NY,11214,
2020,113 WEIRFIELD ST                         ,Brooklyn,NY,11221,
2021,288 MIDWOOD STREET                       ,Brooklyn,NY,11225,
2022,1737 66TH   STREET                       ,Brooklyn,NY,11204,
2023,8913 RIDGE BOULEVARD                     ,Brooklyn,NY,11209,
2024,1210 JEFFERSON AVENUE                    ,Brooklyn,NY,11221,
2025,278 AMHERST STREET                       ,Brooklyn,NY,11235,
2026,1511 ALBEMARLE ROAD                      ,Brooklyn,NY,11226,
2027,746 LEXINGTON AVENUE                     ,Brooklyn,NY,11221,
2028,408 DECATUR STREET                       ,Brooklyn,NY,11233,
2029,421 HART STREET                          ,Brooklyn,NY,11221,
2030,6812 FORT HAMILTON PARKWA                ,Brooklyn,NY,11219,
2031,5104 OCEAN VIEW AVENUE                   ,Brooklyn,NY,11224,
2032,946 4TH AVENUE                           ,Brooklyn,NY,11232,
2033,463 54TH STREET                          ,Brooklyn,NY,11220,
2034,1404 HANCOCK STREET                      ,Brooklyn,NY,11237,
2035,1230 HANCOCK STREET                      ,Brooklyn,NY,11221,
2036,1549 50TH STREET                         ,Brooklyn,NY,11219,
2037,925 45TH   STREET                        ,Brooklyn,NY,11219,
2038,558 52ND   STREET                        ,Brooklyn,NY,11220,
2039,1518 86 STREET                           ,Brooklyn,NY,11228,
2040,2029 EAST 1ST STREET                     ,Brooklyn,NY,11223,
2041,434 QUINCY STREET                        ,Brooklyn,NY,11221,
2042,923 63RD   STREET                        ,Brooklyn,NY,11219,
2043,1095 PARK PLACE                          ,Brooklyn,NY,11213,
2044,8418 18TH AVENUE                         ,Brooklyn,NY,11214,
2045,135 TEHAMA STREET                        ,Brooklyn,NY,11218,
2046,1634 78TH STREET                         ,Brooklyn,NY,11214,
2047,1431 EAST 22ND STREET                    ,Brooklyn,NY,11210,
2048,3379 BEDFORD AVENUE                      ,Brooklyn,NY,11210,
2049,2255 EAST 18TH STREET                    ,Brooklyn,NY,11229,
2050,1338 72 STREET                           ,Brooklyn,NY,11228,
2051,2346 BOYNTON PLACE                       ,Brooklyn,NY,11223,
2052,700 LAFAYETTE AVENUE                     ,Brooklyn,NY,11221,
2053,124 MACKENZIE STREET                     ,Brooklyn,NY,11235,
2054,1831 53RD   STREET                       ,Brooklyn,NY,11204,
2055,774 PUTNAM AVENUE                        ,Brooklyn,NY,11221,
2056,1120 EAST 24TH STREET                    ,Brooklyn,NY,11210,
2057,380 PUTNAM AVE                           ,Brooklyn,NY,11216,
2058,1221 EAST 7TH   STREET                   ,Brooklyn,NY,11230,
2059,1975 WEST 6TH   STREET                   ,Brooklyn,NY,11223,
2060,1264 PROSPECT PLACE                      ,Brooklyn,NY,11213,
2061,1819 AVENUE U                            ,Brooklyn,NY,11229,
2062,1276 PUTNAM AVENUE                       ,Brooklyn,NY,11221,
2063,1590 EAST 9TH STREET                     ,Brooklyn,NY,11230,
2064,2603 AVENUE J                            ,Brooklyn,NY,11210,
2065,123 93RD STREET                          ,Brooklyn,NY,11209,
2066,173 EAST 4TH   STREET                    ,Brooklyn,NY,11218,
2067,2111 AVENUE N                            ,Brooklyn,NY,11210,
2068,328 LAFAYETTE AVENUE                     ,Brooklyn,NY,11238,
2069,928 77TH STREET                          ,Brooklyn,NY,11228,
2070,435 76TH   STREET                        ,Brooklyn,NY,11209,
2071,1170 66TH   STREET                       ,Brooklyn,NY,11219,
2072,441 PUTNAM AVENUE                        ,Brooklyn,NY,11221,
2073,149 14TH   STREET                        ,Brooklyn,NY,11215,
2074,1704 64TH STREET                         ,Brooklyn,NY,11204,
2075,934 78TH   STREET                        ,Brooklyn,NY,11228,
2076,8697 15TH AVENUE                         ,Brooklyn,NY,11228,
2077,88 BLEECKER STREET                       ,Brooklyn,NY,11221,
2078,354 GRAND AVENUE                         ,Brooklyn,NY,11238,
2079,1537 BAY RIDGE PARKWAY                   ,Brooklyn,NY,11228,
2080,7203 19TH AVENUE                         ,Brooklyn,NY,11204,
2081,1104 EAST 21ST   STREET                  ,Brooklyn,NY,11210,
2082,1735 66TH   STREET                       ,Brooklyn,NY,11204,
2083,1751 48TH   STREET                       ,Brooklyn,NY,11204,
2084,173 79TH STREET                          ,Brooklyn,NY,11209,
2085,2348 BOYNTON PLACE                       ,Brooklyn,NY,11223,
2086,2344 BOYNTON PLACE                       ,Brooklyn,NY,11223,
2087,533 73RD STREET                          ,Brooklyn,NY,11209,
2088,1448 62ND STREET                         ,Brooklyn,NY,11219,
2089,167 VERNON AVENUE                        ,Brooklyn,NY,11206,
2090,537 CHAUNCEY STREET                      ,Brooklyn,NY,11233,
2091,75 86TH   STREET                         ,Brooklyn,NY,11209,
2092,6218 18 AVENUE                           ,Brooklyn,NY,11204,
2093,289 COOPER STREET                        ,Brooklyn,NY,11237,
2094,750 58TH STREET                          ,Brooklyn,NY,11220,
2095,1466 EAST 5TH   STREET                   ,Brooklyn,NY,11230,
2096,2353 EAST 13TH   STREET                  ,Brooklyn,NY,11229,
