1001,1127 EAST 15TH STREET                    ,Brooklyn,NY,11230
1002,205 LOGAN STREET                         ,Brooklyn,NY,11208
1003,1048 EAST 16TH STREET                    ,Brooklyn,NY,11230
1004,1828 EAST 33RD STREET                    ,Brooklyn,NY,11234
1005,2342 EAST 15TH   STREET                  ,Brooklyn,NY,11229
1006,2130 EAST 37TH   STREET                  ,Brooklyn,NY,11234
1007,748 EAST 89TH   STREET                   ,Brooklyn,NY,11236
1008,181 LINWOOD STREET                       ,Brooklyn,NY,11208
1009,227 EAST 28TH   STREET                   ,Brooklyn,NY,11226
1010,700 LOGAN STREET                         ,Brooklyn,NY,11208
1011,3715 NEPTUNE AVENUE                      ,Brooklyn,NY,11224
1012,10516 FLATLANDS 5 STREET                 ,Brooklyn,NY,11236
1013,1121 EAST 43RD STREET                    ,Brooklyn,NY,11210
1014,574 EAST 87TH   STREET                   ,Brooklyn,NY,11236
1015,492 BERRIMAN STREET                      ,Brooklyn,NY,11208
1016,1576 EAST 21ST STREET                    ,Brooklyn,NY,11210
1017,100 PINE STREET                          ,Brooklyn,NY,11208
1018,973 EAST 93RD STREET                     ,Brooklyn,NY,11236
1019,263 EAST 39TH STREET                     ,Brooklyn,NY,11203
1020,2683 EAST 63RD   STREET                  ,Brooklyn,NY,11234
1021,222 AUTUMN AVENUE                        ,Brooklyn,NY,11208
1022,10607 AVENUE J                           ,Brooklyn,NY,11236
1023,923 LINDEN BOULEVARD                     ,Brooklyn,NY,11203
1024,323 ASHFORD STREET                       ,Brooklyn,NY,11207
1025,1387 EAST 17TH STREET                    ,Brooklyn,NY,11230
1026,2066 64TH STREET                         ,Brooklyn,NY,11204
1027,559 MILLER AVENUE                        ,Brooklyn,NY,11207
1028,6209 STRICKLAND AVENUE                   ,Brooklyn,NY,11234
1029,471 MILLER AVENUE                        ,Brooklyn,NY,11207
1030,1246 BUSHWICK AVENUE                     ,Brooklyn,NY,11207
1031,1607 42ND STREET                         ,Brooklyn,NY,11204
1032,1807 AVENUE V                            ,Brooklyn,NY,11229
1033,1672 73RD STREET                         ,Brooklyn,NY,11204
1034,209 SUNNYSIDE AVENUE                     ,Brooklyn,NY,11207
1035,1838 WEST 8TH   STREET                   ,Brooklyn,NY,11223
1036,658 SAPPHIRE STREET                      ,Brooklyn,NY,11208
1037,901 HERKIMER STREET                      ,Brooklyn,NY,11233
1038,818 5 AVENUE                             ,Brooklyn,NY,11232
1039,2128 EAST 70TH   STREET                  ,Brooklyn,NY,11234
1040,1525 ST JOHNS PLACE                      ,Brooklyn,NY,11213
1041,260 45TH STREET                          ,Brooklyn,NY,11220
1042,303 CATON AVE                            ,Brooklyn,NY,11218
1043,1446 EAST 4TH STREET                     ,Brooklyn,NY,11230
1044,272 EAST 34TH STREET                     ,Brooklyn,NY,11203
1045,2351 EAST 18TH   STREET                  ,Brooklyn,NY,11229
1046,706 EAST 81ST   STREET                   ,Brooklyn,NY,11236
1047,2825 SNYDER AVENUE                       ,Brooklyn,NY,11226
1048,948 ASHFORD STREET                       ,Brooklyn,NY,11207
1049,1319 60TH   STREET                       ,Brooklyn,NY,11219
1050,1749 EAST 15TH   STREET                  ,Brooklyn,NY,11229
1051,1239 EAST 55TH STREET                    ,Brooklyn,NY,11234
1052,3114 AVENUE P                            ,Brooklyn,NY,11234
1053,31 DAHLGREN PLACE                        ,Brooklyn,NY,11228
1054,52 PARKWAY COURT                         ,Brooklyn,NY,11235
1055,1843 HARING STREET                       ,Brooklyn,NY,11229
1056,343 ESSEX STREET                         ,Brooklyn,NY,11208
1057,311 EVERGREEN AVENUE                     ,Brooklyn,NY,11221
1058,74 LAWRENCE AVENUE                       ,Brooklyn,NY,11230
1059,530 EAST 80TH STREET                     ,Brooklyn,NY,11236
1060,441 LINWOOD STREET                       ,Brooklyn,NY,11208
1061,1078 EAST 29TH   STREET                  ,Brooklyn,NY,11210
1062,5528 KINGS HIGHWAY                       ,Brooklyn,NY,11203
1063,2046 EAST 38TH STREET                    ,Brooklyn,NY,11234
1064,2046 STUART STREET                       ,Brooklyn,NY,11229
1065,1250 38TH   STREET                       ,Brooklyn,NY,11218
1066,2537 EAST 26TH STREET                    ,Brooklyn,NY,11235
1067,213 RYDER AVENUE                         ,Brooklyn,NY,11230
1068,4225 AVENUE M                            ,Brooklyn,NY,11234
1069,142 ERASMUS STREET                       ,Brooklyn,NY,11226
1070,1176 EAST 24TH   STREET                  ,Brooklyn,NY,11210
1071,1652 73RD STREET                         ,Brooklyn,NY,11204
1072,1672 WEST 2ND   STREET                   ,Brooklyn,NY,11223
1073,1938 EAST 28TH   STREET                  ,Brooklyn,NY,11229
1074,674 REMSEN AVENUE                        ,Brooklyn,NY,11236
1075,726 EAST 9                               ,Brooklyn,NY,11230
